Country,Iso3c,2012 Rank,2012 Score,2013 Rank,2013 Score,2014 Rank,2014 Score,2015 Rank,2015 Score,2016 Rank,2016 Score,2017 Rank,2017 Score,2018 Rank,2018 Score,2019 Rank,2019 Score,2020 Rank,2020 Score,2021 Rank,2021 Score,2022 Rank,2022 Score
Cyprus,CYP,97,0.826318935360223,99,0.508313378859537,100,0.290978597681926,105,0.157670277511823,88,1.24105004001805,82,1.73086448260274,91,1.24105004001805,96,0.826318935360223,83,1.39182950581271,66,1.92849927080111,74,1.39182950581271
Czech Republic,CZE,112,0.0,110,0.0,110,0.0,82,1.73086448260274,79,1.73086448260274,77,2.04164834957969,87,1.52018198264983,93,1.05831156396975,90,0.59942834098841,89,0.290978597681926,93,0.0
Democratic Republic of the Congo,COD,16,5.83617386849373,20,5.7454981702434,24,5.06342108447788,33,5.29922420984745,35,5.02465284677567,48,4.35028395445471,57,3.6073129455086,38,4.78625743251773,21,6.07262824700634,16,6.89601691937533,14,6.87162264069472
Denmark,DNK,97,0.826318935360223,99,0.508313378859537,100,0.290978597681926,61,3.06469735854517,73,2.48990864139466,78,1.93774847442113,82,1.84047838100646,88,1.33832013343272,91,0.508313378859537,89,0.290978597681926,90,0.157670277511823
Djibouti,DJI,112,0.0,110,0.0,68,2.66521199549208,78,2.10457007854592,83,1.5778561694534,94,1.10774171984795,101,0.720293391876421,112,0.0,105,0.0,96,0.0,44,3.8002857693445
Dominican Republic,DOM,112,0.0,110,0.0,110,0.0,106,0.0,106,0.0,108,0.0,110,0.0,112,0.0,105,0.0,96,0.0,93,0.0
Ecuador,ECU,106,0.290978597681926,89,1.2812801910983,94,0.826318935360223,87,1.39182950581271,94,0.950071442336124,101,0.59942834098841,48,4.33431108332152,53,3.9363351133463,54,3.34417397726558,58,2.76265087826904,66,2.19795782068182
Egypt,EGY,17,5.80426137909607,15,6.79271032246869,11,7.21626370114541,7,7.83907417805271,8,7.89251932336951,6,8.17963488141623,7,7.851519019366,11,7.5794910159417,13,7.30914467764534,15,6.95225716011993,16,6.63155090074775
El Salvador,SLV,65,2.56434529984762,72,2.00838300630588,84,1.33832013343272,106,0.0,106,0.0,108,0.0,110,0.0,112,0.0,105,0.0,96,0.0,93,0.0
Equatorial Guinea,GNQ,112,0.0,110,0.0,110,0.0,106,0.0,106,0.0,108,0.0,110,0.0,112,0.0,105,0.0,96,0.0,93,0.0
Eritrea,ERI,61,3.1411929246903,68,2.52792761178952,77,1.97378670117656,106,0.0,106,0.0,108,0.0,110,0.0,112,0.0,105,0.0,96,0.0,93,0.0
Estonia,EST,84,1.81963900407464,88,1.31972173286483,93,0.890406938670335,103,0.555070295221389,106,0.0,108,0.0,110,0.0,112,0.0,105,0.0,96,0.0,93,0.0
Eswatini,SWZ,102,0.792401164824301,110,0.0,110,0.0,106,0.0,106,0.0,108,0.0,110,0.0,112,0.0,105,0.0,73,1.52018198264983,78,1.05831156396975
Ethiopia,ETH,29,5.04184406226869,31,4.60160896771212,31,4.53164865373292,44,4.30085379857652,54,3.70082677823231,25,5.73803424376563,33,5.15814625615199,41,4.62413739263188,42,4.35254189906619,49,3.75873276105108,56,3.04446737653316
Finland,FIN,110,0.226890594371813,110,0.0,110,0.0,106,0.0,106,0.0,62,3.10379067195032,73,2.52792761178952,80,1.97378670117656,81,1.45838482119566,82,1.00588385814093,93,0.0
France,FRA,38,4.35928057442224,46,3.80241842713288,46,3.73603349738636,18,6.65460275885419,16,6.83035659517604,20,6.34182436694856,23,5.99089869990812,26,5.61836095329152,30,5.24572286528189,36,4.57368923511181,34,4.41924335947235
Gabon,GAB,112,0.0,110,0.0,110,0.0,106,0.0,106,0.0,82,1.73086448260274,91,1.24105004001805,96,0.826318935360223,91,0.508313378859537,89,0.290978597681926,93,0.0
Georgia,GEO,41,4.27719262462525,47,3.7609702585345,59,3.1013984372439,73,2.43990672199487,71,2.59068618778953,81,1.74247260716042,94,1.1544986362098,100,0.757098618500233,94,0.458883222981342,96,0.0,93,0.0
Germany,DEU,59,3.21986461753708,64,2.6410766905681,72,2.28223644448305,51,3.62840648623209,34,5.2018822450598,39,4.86858782472565,41,4.91334930472509,36,4.91599798151205,31,5.12463702233883,31,4.74536046144879,35,4.24204383282108
Ghana,GHA,112,0.0,110,0.0,110,0.0,106,0.0,106,0.0,108,0.0,110,0.0,112,0.0,105,0.0,96,0.0,93,0.0
Greece,GRC,45,4.02799723923586,41,4.12271482548951,51,3.58020124882344,58,3.15255698171093,59,3.36561620698927,51,4.20874080714482,47,4.49178941936215,44,4.48262277643481,38,4.69107392569564,29,4.89065317667774,31,4.79305882262799
Guatemala,GTM,48,3.88464827545523,55,3.29197239048496,67,2.71155123867754,80,2.04164834957969,84,1.52018198264983,108,0.0,110,0.0,112,0.0,105,0.0,96,0.0,93,0.0
